name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,0.6804550155118925,0.259,0.7638974927455903,0.07679738562091502,0.6967871485943775,5.9593908629441615e-05,0.9878419452887538,0.31065989847715736,0.5157998037291462,42
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,0.7673216132368149,0.399,0.7719670046623847,0.03769063180827886,0.21787148594377512,1.9086294416243656e-06,0.10840932117527863,0.7035532994923857,0.5843216972755736,30
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,0.8800413650465357,0.73,0.7980176714159956,0.377995642701525,0.4548192771084338,6.436548223350253e-05,0.12563323201621074,0.9187817258883249,0.4378615823169307,8
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,0.7290589451913133,0.0502,0.6828111245150141,0.051307189542483665,0.8825301204819278,4.111675126903553e-05,0.3910840932117528,0.531979695431472,0.49909808869573347,48
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,0.6732161323681489,0.119,0.6552280655994263,0.04139433551198257,0.9196787148594379,0.00034822335025380707,0.10536980749746708,0.40812182741116754,0.5651712696854994,11
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,0.4819027921406412,0.146,0.6928368817449708,0.07069716775599129,0.9347389558232932,0.1563451776649746,0.10840932117527863,0.42944162436548217,0.6677181176690499,11
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,0.6980351602895554,0.207,0.7528284046819471,0.0593681917211329,0.9668674698795181,0.42030456852791875,0.11347517730496455,0.6944162436548224,0.437081172017384,48
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,0.5211995863495347,0.733,0.8033647419386392,0.4237472766884532,0.6987951807228916,5.695431472081218e-05,0.6818642350557245,0.899492385786802,0.45125940464507686,19
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,0.717683557394002,0.546,0.7914316455283492,0.04357298474945534,0.3995983935742972,0.07715736040609136,0.15501519756838905,0.650761421319797,0.7945791859432684,31
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,0.6970010341261634,0.864,0.8481790616543314,0.04161220043572984,0.643574297188755,0.36345177664974615,0.14083080040526852,0.5441624365482234,0.46728819103696434,2
The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,0.6628748707342296,0.14,0.704411333181181,0.042483660130718956,0.8704819277108434,0.0016852791878172587,0.10638297872340426,0.39390862944162436,0.6043179587831208,11
Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,0.4963805584281282,0.433,0.8165856998467608,0.05795206971677559,0.6104417670682731,0.7045685279187817,0.1094224924012158,0.9106598984771573,0.38466750782746856,28
Aqua De Coco                                                                                                                                                                     ,Marcos Valle                                    ,0.7807652533609101,0.732,0.8216230315281536,0.07167755991285403,0.4889558232931727,0.0009238578680203045,0.4599797365754813,0.8284263959390862,0.41136501705687184,8
Samba de Verão                                                                                                                                                                   ,Marcos Valle                                    ,0.7207859358841778,0.405,0.740324736721985,0.03453159041394335,0.8162650602409638,0.00015939086294416242,0.3323201621073962,0.8578680203045684,0.5366278798074676,39
Mas Que Nada                                                                                                                                                                     ,Rio Combo                                       ,0.6390899689762152,0.539,0.7712660167585015,0.03398692810457516,0.1566265060240964,0.0021725888324873096,0.1894630192502533,0.9299492385786802,0.41425300247675123,16
Nova Bossa Nova                                                                                                                                                                  ,Marcos Valle                                    ,0.6184074457083765,0.739,0.8052883831632487,0.049237472766884526,0.5251004016064258,0.7360406091370557,0.14792299898682879,0.8944162436548223,0.444030094864246,25
Não Sei                                                                                                                                                                          ,Sílvia Pérez Cruz                               ,0.39503619441571874,0.0866,0.7488017997456882,0.043137254901960784,0.9819277108433735,0.002,0.23708206686930094,0.15939086294416244,0.5189120986962008,41
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,0.5822130299896587,0.112,0.7933226826644061,0.045206971677559916,0.893574297188755,0.0,0.3373860182370821,0.31675126903553297,0.5064348801345857,11
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,0.43743536711478803,0.252,0.6640800756414855,0.0508714596949891,0.9668674698795181,0.914720812182741,0.10638297872340426,0.4446700507614213,0.37863918874713776,28
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,0.547052740434333,0.276,0.7358905806788172,0.04978213507625272,0.9759036144578314,0.898477157360406,0.13475177304964542,0.28426395939086296,0.4492452918360671,22
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,0.6608066184074457,0.552,0.8267581754752046,0.1383442265795207,0.8353413654618473,0.0,0.12360688956433638,0.48121827411167506,0.6693817468105987,47
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,0.4643226473629783,0.145,0.6564507189201526,0.052723311546840956,0.9407630522088355,0.932994923857868,0.0779128672745694,0.30862944162436545,0.42679564465629233,22
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,0.44053774560496384,0.245,0.7175670829121972,0.03671023965141612,0.7379518072289157,0.0,0.1914893617021277,0.6964467005076143,0.8219916818542923,47
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,0.49741468459152016,0.525,0.7950833034462521,0.06427015250544661,0.570281124497992,0.0,0.6838905775075989,0.8294416243654821,0.48910696761530914,19
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,0.8014477766287488,0.206,0.7228489452577354,0.05773420479302832,0.8825301204819278,0.00031776649746192894,0.14184397163120568,0.5614213197969543,0.5629235010981821,48
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,0.547052740434333,0.134,0.5408855270450914,0.09466230936819173,0.9096385542168676,0.12284263959390862,0.7031408308004052,0.48121827411167506,0.6243936632552923,42
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,0.7786970010341262,0.215,0.7226533207264191,0.3191721132897603,0.6204819277108434,0.004710659898477157,0.09240121580547113,0.3878172588832487,0.6090845366605916,7
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,0.5129265770423992,0.242,0.741025724625868,0.03616557734204793,0.7048192771084337,0.0,0.1752786220871327,0.7441624365482233,0.3863264638534511,48
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,0.5718717683557395,0.55,0.7596589612337388,0.4335511982570806,0.8032128514056226,0.000734010152284264,0.9179331306990882,0.6893401015228426,0.6402916024113275,19
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,0.5604963805584282,0.224,0.7152358905806788,0.06481481481481481,0.7771084337349399,0.09005076142131979,0.11550151975683892,0.5401015228426396,0.3724473106219917,48
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,0.62564632885212,0.485,0.8001369371719214,0.05577342047930283,0.8795180722891567,0.8538071065989847,0.12765957446808512,0.7045685279187817,0.4645964764708631,28
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,0.6401240951396071,0.402,0.7896873267907796,0.038562091503267976,0.8734939759036146,0.07126903553299492,0.09868287740628166,0.8040609137055837,0.43570727604093645,48
